"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.611169536E0,-9.584045410E-2,-1.938171387E-1,1.229051948E-1
1.616143963E0,-2.131646276E-1,-2.186775208E-1,1.490663886E-1
1.621118442E0,-3.110353351E-1,-2.326974869E-1,2.337751240E-1
1.626092869E0,-4.261592031E-1,-2.110471725E-1,3.502284288E-1
1.631067349E0,-4.290144444E-1,-1.575813293E-1,4.898043871E-1
1.636014380E0,-3.575292826E-1,-1.200637817E-1,5.396032929E-1
1.640988859E0,-2.694458961E-1,-6.390380859E-2,4.754907489E-1
1.645963286E0,-1.615521908E-1,-2.369213104E-2,3.676074743E-1
1.650937765E0,-8.875012398E-2,-1.235485077E-2,1.880764663E-1
1.655912192E0,-2.249264717E-2,1.551055908E-2,5.516192317E-2
1.660886671E0,7.019996643E-2,4.435825348E-2,-8.955416083E-2
1.665826515E0,1.059186459E-1,6.349658966E-2,-1.710735559E-1
1.670800994E0,1.670014262E-1,7.657814026E-2,-1.874431670E-1
1.675775421E0,2.011314631E-1,6.938552856E-2,-1.429128945E-1
1.680749901E0,1.643064618E-1,7.656192780E-2,-1.293791682E-1
1.685724328E0,1.488280296E-1,8.133697510E-2,-1.264502853E-1
1.690698807E0,1.009448767E-1,8.136463165E-2,-5.439080298E-2
1.695644015E0,1.185799837E-1,9.566783905E-2,2.185423672E-2
1.700618494E0,7.262372971E-2,8.020782471E-2,2.488940954E-3
1.705592921E0,1.240634918E-2,4.829025269E-2,7.000530511E-2
1.710567401E0,2.844822407E-2,6.537151337E-2,7.244131714E-2
1.715541828E0,5.571126938E-2,6.455135345E-2,1.200255603E-1
1.720516307E0,5.511403084E-2,8.158588409E-2,9.125207365E-2
1.725460005E0,-5.210399628E-3,4.862976074E-2,2.243809402E-2
1.730434484E0,-6.849670410E-2,2.662849426E-2,-3.987360001E-2
1.735408911E0,-1.515393257E-1,4.282474518E-2,-8.968986571E-2
